"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""241355 SERRINHA DOS PINTOS"";2980,50;-;2980,50"
"""241360 SEVERIANO MELO"";2310,37;-;2310,37"
"""241380 TABOLEIRO GRANDE"";2231,78;-;2231,78"
"""241410 TENENTE ANANIAS"";87169,49;-;87169,49"
"""241445 TRIUNFO POTIGUAR"";2993,06;-;2993,06"
"""241475 VENHA-VER"";426,48;-;426,48"
"""250040 ALAGOA NOVA"";8106,68;-;8106,68"
"""250150 BANANEIRAS"";13289,79;-;13289,79"
"""250190 BELEM"";146082,98;-;146082,98"
"""250230 BOM SUCESSO"";204,50;-;204,50"
"""250280 BREJO DO CRUZ"";3196,07;-;3196,07"
"""250320 CABEDELO"";82014,61;-;82014,61"
"""250370 CAJAZEIRAS"";847193,23;5399,57;852592,80"
"""250400 CAMPINA GRANDE"";8409906,75;4855648,95;13265555,70"
"""250430 CATOLE DO ROCHA"";668181,65;2949,70;671131,35"
"""250440 CONCEICAO"";23300,27;-;23300,27"
"""250480 COREMAS"";17711,05;-;17711,05"
"""250510 CUITE"";26784,71;-;26784,71"
"""250600 ESPERANCA"";41208,58;-;41208,58"
"""250630 GUARABIRA"";486537,75;-;486537,75"
"""250690 ITABAIANA"";404347,15;-;404347,15"
"""250700 ITAPORANGA"";8559,94;-;8559,94"
"""250710 ITAPOROROCA"";24482,98;-;24482,98"
"""250750 JOAO PESSOA"";9985385,95;5567227,22;15552613,17"
"""250800 JURU"";2975,58;-;2975,58"
"""250830 LAGOA SECA"";6748,39;-;6748,39"
"""250890 MAMANGUAPE"";704531,20;133874,15;838405,35"
"""250920 MASSARANDUBA"";1677,62;-;1677,62"
"""250970 MONTEIRO"";683280,90;193736,40;877017,30"
"""251080 PATOS"";1533229,65;3167236,65;4700466,30"
"""251120 PEDRAS DE FOGO"";17446,60;-;17446,60"
"""251130 PIANCO"";474004,72;-;474004,72"
"""251140 PICUI"";337894,02;64439,56;402333,58"
"""251200 POCINHOS"";25768,03;-;25768,03"
"""251210 POMBAL"";827497,07;215258,37;1042755,44"
"""251230 PRINCESA ISABEL"";23510,79;-;23510,79"
"""251250 QUEIMADAS"";100777,94;-;100777,94"
"""251370 SANTA RITA"";1303609,74;4481626,27;5785236,01"
"""251540 SAO VICENTE DO SERIDO"";479,19;-;479,19"
"""251550 SERRA BRANCA"";14778,92;-;14778,92"
"""251600 SOLANEA"";90998,12;-;90998,12"
"""251620 SOUSA"";630255,56;129195,32;759450,88"
"""251630 SUME"";24153,12;-;24153,12"
"""251650 TAPEROA"";493176,43;-;493176,43"
"""251660 TAVARES"";6370,41;-;6370,41"
"""251690 UIRAUNA"";42050,10;-;42050,10"
"""260010 AFOGADOS DA INGAZEIRA"";454069,82;-;454069,82"
"""260020 AFRANIO"";29084,53;-;29084,53"
"""260030 AGRESTINA"";80725,99;-;80725,99"
"""260050 AGUAS BELAS"";26211,70;-;26211,70"
"""260060 ALAGOINHA"";9458,15;-;9458,15"
"""260070 ALIANCA"";3730,45;-;3730,45"
"""260110 ARARIPINA"";1016178,06;-;1016178,06"
"""260120 ARCOVERDE"";604019,64;95103,92;699123,56"
"""260130 BARRA DE GUABIRABA"";2162,37;-;2162,37"
"""260140 BARREIROS"";15070,38;-;15070,38"
"""260160 BELEM DO SAO FRANCISCO"";8371,47;-;8371,47"
"""260190 BEZERROS"";1071231,02;-;1071231,02"
"""260200 BODOCO"";11556,33;-;11556,33"
"""260210 BOM CONSELHO"";21772,93;-;21772,93"
"""260220 BOM JARDIM"";20756,89;-;20756,89"
"""260230 BONITO"";5918,27;-;5918,27"
"""260240 BREJAO"";3825,93;-;3825,93"
"""260250 BREJINHO"";5294,51;-;5294,51"
"""260260 BREJO DA MADRE DE DEUS"";10549,57;-;10549,57"
"""260280 BUIQUE"";53289,35;-;53289,35"
"""260290 CABO DE SANTO AGOSTINHO"";754733,72;639807,53;1394541,25"
"""260300 CABROBO"";66655,73;-;66655,73"
"""260310 CACHOEIRINHA"";3812,01;-;3812,01"
"""260330 CALCADO"";942,01;-;942,01"
"""260340 CALUMBI"";1197,72;-;1197,72"
"""260345 CAMARAGIBE"";39169,95;-;39169,95"
"""260360 CAMUTANGA"";667,71;-;667,71"
"""260370 CANHOTINHO"";17326,63;-;17326,63"
"""260380 CAPOEIRAS"";12345,90;-;12345,90"
"""260390 CARNAIBA"";3730,69;-;3730,69"
"""260400 CARPINA"";17389,00;-;17389,00"
"""260410 CARUARU"";3969280,21;2592728,42;6562008,63"
"""260420 CATENDE"";11602,95;-;11602,95"
"""260470 CORRENTES"";12784,04;-;12784,04"
"""260490 CUMARU"";7560,15;-;7560,15"
"""260500 CUPIRA"";8135,28;-;8135,28"
"""260510 CUSTODIA"";21245,09;-;21245,09"
"""260530 EXU"";15092,43;-;15092,43"
"""260540 FEIRA NOVA"";11696,89;-;11696,89"
"""260545 FERNANDO DE NORONHA"";44,22;-;44,22"
"""260560 FLORES"";5712,52;-;5712,52"
"""260570 FLORESTA"";22483,27;-;22483,27"
"""260580 FREI MIGUELINHO"";5525,62;-;5525,62"
"""260600 GARANHUNS"";779491,29;133611,54;913102,83"
"""260610 GLORIA DO GOITA"";292,62;-;292,62"
"""260620 GOIANA"";104721,98;-;104721,98"
"""260630 GRANITO"";2995,82;-;2995,82"
"""260640 GRAVATA"";17020,00;-;17020,00"
"""260650 IATI"";38065,93;-;38065,93"
"""260660 IBIMIRIM"";2213,32;-;2213,32"
"""260670 IBIRAJUBA"";798,20;-;798,20"
"""260680 IGARASSU"";6701,44;-;6701,44"
"""260690 IGUARACY"";2806,95;-;2806,95"
"""260700 INAJA"";7607,23;-;7607,23"
"""260710 INGAZEIRA"";3199,08;-;3199,08"
"""260720 IPOJUCA"";53659,42;-;53659,42"
"""260770 ITAPETIM"";35880,86;-;35880,86"
"""260790 JABOATAO DOS GUARARAPES"";3946191,10;900442,83;4846633,93"
"""260795 JAQUEIRA"";3932,96;-;3932,96"
"""260800 JATAUBA"";12083,07;-;12083,07"
"""260810 JOAO ALFREDO"";5464,49;-;5464,49"
"""260825 JUCATI"";2270,60;-;2270,60"
"""260830 JUPI"";2209,79;-;2209,79"
"""260845 LAGOA DO CARRO"";460,61;-;460,61"
"""260850 LAGOA DE ITAENGA"";1896,89;-;1896,89"
"""260860 LAGOA DO OURO"";7253,31;-;7253,31"
"""260870 LAGOA DOS GATOS"";1731,82;-;1731,82"
"""260875 LAGOA GRANDE"";26793,33;-;26793,33"
"""260880 LAJEDO"";11056,77;-;11056,77"
"""260890 LIMOEIRO"";524973,08;-;524973,08"
"""260900 MACAPARANA"";10302,59;-;10302,59"
"""260915 MANARI"";4953,66;-;4953,66"
"""260930 MIRANDIBA"";3877,45;-;3877,45"
"""260940 MORENO"";1770464,82;1877623,93;3648088,75"
"""260950 NAZARE DA MATA"";138385,81;-;138385,81"
"""260960 OLINDA"";911393,31;-;911393,31"
"""260970 OROBO"";12564,97;-;12564,97"
"""260990 OURICURI"";565647,94;-;565647,94"
"""261000 PALMARES"";1469603,42;-;1469603,42"
"""261010 PALMEIRINA"";599,58;-;599,58"
"""261020 PANELAS"";4551,00;-;4551,00"
"""261030 PARANATAMA"";5345,67;-;5345,67"
"""261040 PARNAMIRIM"";11956,27;-;11956,27"
"""261060 PAUDALHO"";15832,42;-;15832,42"
"""261070 PAULISTA"";794225,22;15020,14;809245,36"
"""261080 PEDRA"";12129,68;-;12129,68"
"""261090 PESQUEIRA"";74476,27;-;74476,27"
"""261100 PETROLANDIA"";58465,01;-;58465,01"
"""261110 PETROLINA"";2182088,18;1265941,22;3448029,40"
"""261120 POCAO"";6164,91;-;6164,91"
"""261150 QUIPAPA"";1330,20;-;1330,20"
"""261160 RECIFE"";33401634,03;27736626,37;61138260,40"
"""261190 RIO FORMOSO"";590,42;-;590,42"
"""261220 SALGUEIRO"";566558,23;2812,67;569370,90"
"""261230 SALOA"";19402,63;-;19402,63"
"""261245 SANTA CRUZ"";13892,27;-;13892,27"
"""261247 SANTA CRUZ DA BAIXA VERDE"";4825,14;-;4825,14"
"""261300 SAO BENTO DO UNA"";31964,40;-;31964,40"
"""261320 SAO JOAO"";17771,72;-;17771,72"
"""261350 SAO JOSE DO BELMONTE"";26311,21;-;26311,21"
"""261360 SAO JOSE DO EGITO"";41856,00;-;41856,00"
"""261370 SAO LOURENCO DA MATA"";137278,51;-;137278,51"
"""261390 SERRA TALHADA"";1514900,26;46935,46;1561835,72"
"""261410 SERTANIA"";38049,33;-;38049,33"
"""261440 SOLIDAO"";2913,50;-;2913,50"
"""261450 SURUBIM"";75467,52;-;75467,52"
"""261460 TABIRA"";24592,07;-;24592,07"
"""261500 TAQUARITINGA DO NORTE"";6464,39;-;6464,39"
"""261510 TEREZINHA"";3235,99;-;3235,99"
"""261520 TERRA NOVA"";5894,02;-;5894,02"
"""261540 TORITAMA"";50879,25;-;50879,25"
"""261560 TRINDADE"";9337,93;-;9337,93"
"""261590 TUPARETAMA"";5692,20;-;5692,20"
"""261600 VENTUROSA"";4571,30;-;4571,30"
"""261640 VITORIA DE SANTO ANTAO"";2207968,29;-;2207968,29"
"""270010 AGUA BRANCA"";7882,58;-;7882,58"
"""270030 ARAPIRACA"";4066237,76;1132001,04;5198238,80"
"""270040 ATALAIA"";11388,49;-;11388,49"
"""270070 BATALHA"";29224,29;-;29224,29"
"""270100 BOCA DA MATA"";1805,60;-;1805,60"
"""270140 CAMPO ALEGRE"";22474,49;-;22474,49"
"""270170 CAPELA"";7111,19;-;7111,19"
"""270230 CORURIPE"";810554,21;688874,26;1499428,47"
"""270240 DELMIRO GOUVEIA"";84254,58;-;84254,58"
"""270300 IBATEGUARA"";2217,00;-;2217,00"
"""270430 MACEIO"";8914884,42;5316628,53;14231512,95"
"""270550 MURICI"";3616,20;-;3616,20"
"""270630 PALMEIRA DOS INDIOS"";528780,30;6092,85;534873,15"
"""270690 PILAR"";83626,42;30092,01;113718,43"
"""270710 PIRANHAS"";17918,56;-;17918,56"
"""270730 PORTO CALVO"";473500,70;-;473500,70"
"""270760 QUEBRANGULO"";591,95;-;591,95"
"""270770 RIO LARGO"";38761,16;-;38761,16"
"""270800 SANTANA DO IPANEMA"";881170,04;-;881170,04"
"""270840 SAO JOSE DA TAPERA"";11724,81;-;11724,81"
"""270850 SAO LUIS DO QUITUNDE"";5764,20;-;5764,20"
"""270860 SAO MIGUEL DOS CAMPOS"";638463,61;-;638463,61"
"""270915 TEOTONIO VILELA"";13091,52;-;13091,52"
"""270920 TRAIPU"";443,40;-;443,40"
"""270930 UNIAO DOS PALMARES"";585575,21;-;585575,21"
"""280020 AQUIDABA"";24668,26;-;24668,26"
"""280030 ARACAJU"";9744653,38;5986951,18;15731604,56"
"""280130 CAPELA"";112125,43;-;112125,43"
"""280210 ESTANCIA"";1330042,30;-;1330042,30"
"""280340 JAPOATA"";73312,12;-;73312,12"
"""280350 LAGARTO"";1273997,98;502,76;1274500,74"
"""280450 NOSSA SENHORA DA GLORIA"";112552,65;-;112552,65"
"""280570 PROPRIA"";76757,55;-;76757,55"
"""280590 RIACHUELO"";13820,18;-;13820,18"
"""280670 SAO CRISTOVAO"";90620,61;-;90620,61"
"""280710 SIMAO DIAS"";34861,91;-;34861,91"
"""290020 ABARE"";7513,67;-;7513,67"
"""290035 ADUSTINA"";4326,29;-;4326,29"
"""290040 AGUA FRIA"";6104,11;-;6104,11"
"""290070 ALAGOINHAS"";1060183,66;-;1060183,66"
"""290100 AMARGOSA"";157047,06;-;157047,06"
"""290110 AMELIA RODRIGUES"";13254,45;-;13254,45"
"""290115 AMERICA DOURADA"";18824,71;-;18824,71"
"""290120 ANAGE"";541,54;-;541,54"
"""290130 ANDARAI"";8300,97;-;8300,97"
"""290140 ANGICAL"";3857,60;-;3857,60"
"""290150 ANGUERA"";3370,28;-;3370,28"
"""290160 ANTAS"";406768,40;-;406768,40"
"""290200 ARACATU"";51990,19;-;51990,19"
"""290205 ARACAS"";3800,88;-;3800,88"
"""290210 ARACI"";27613,48;-;27613,48"
"""290240 AURELINO LEAL"";57678,87;-;57678,87"
"""290250 BAIANOPOLIS"";11143,75;-;11143,75"
"""290260 BAIXA GRANDE"";15802,31;-;15802,31"
"""290270 BARRA"";285030,22;-;285030,22"
"""290280 BARRA DA ESTIVA"";97090,54;-;97090,54"
"""290300 BARRA DO MENDES"";12602,61;-;12602,61"
"""290320 BARREIRAS"";2194914,02;336566,39;2531480,41"
"""290323 BARRO ALTO"";15893,89;-;15893,89"
"""290327 BARROCAS"";7966,74;-;7966,74"
"""290330 BARRO PRETO"";2162,70;-;2162,70"
"""290340 BELMONTE"";25510,78;-;25510,78"
"""290350 BELO CAMPO"";10769,52;-;10769,52"
"""290380 BOA VISTA DO TUPIM"";2863,94;-;2863,94"
"""290390 BOM JESUS DA LAPA"";337147,76;-;337147,76"
"""290395 BOM JESUS DA SERRA"";12039,51;-;12039,51"
"""290405 BONITO"";23812,81;-;23812,81"
"""290410 BOQUIRA"";31026,20;-;31026,20"
"""290420 BOTUPORA"";11446,05;-;11446,05"
"""290430 BREJOES"";9334,05;-;9334,05"
"""290440 BREJOLANDIA"";9578,03;-;9578,03"
"""290450 BROTAS DE MACAUBAS"";5934,16;-;5934,16"
"""290460 BRUMADO"";576244,49;-;576244,49"
"""290475 BURITIRAMA"";28818,36;-;28818,36"
"""290490 CACHOEIRA"";38053,39;-;38053,39"
"""290510 CAEM"";25984,64;-;25984,64"
"""290520 CAETITE"";83226,58;-;83226,58"
"""290530 CAFARNAUM"";28786,76;-;28786,76"
"""290560 CAMACAN"";37769,54;-;37769,54"
"""290570 CAMACARI"";1718794,34;4310,98;1723105,32"
"""290580 CAMAMU"";15287,82;-;15287,82"
"""290590 CAMPO ALEGRE DE LOURDES"";37978,67;-;37978,67"
"""290600 CAMPO FORMOSO"";466684,52;-;466684,52"
"""290610 CANAPOLIS"";15087,46;-;15087,46"
"""290620 CANARANA"";31342,34;-;31342,34"
"""290650 CANDEIAS"";476729,12;-;476729,12"
"""290680 CANSANCAO"";93990,22;-;93990,22"
"""290682 CANUDOS"";8307,34;-;8307,34"
"""290687 CAPIM GROSSO"";24165,61;-;24165,61"
"""290690 CARAVELAS"";44620,75;-;44620,75"
"""290710 CARINHANHA"";10289,14;-;10289,14"
"""290720 CASA NOVA"";53701,49;-;53701,49"
"""290730 CASTRO ALVES"";23999,14;-;23999,14"
"""290750 CATU"";24127,91;-;24127,91"
"""290755 CATURAMA"";8054,38;-;8054,38"
"""290760 CENTRAL"";12992,86;-;12992,86"
"""290780 CICERO DANTAS"";17448,16;-;17448,16"
"""290790 CIPO"";20942,25;-;20942,25"
"""290840 CONCEICAO DO COITE"";220458,30;-;220458,30"
"""290860 CONDE"";2669,48;-;2669,48"
"""290870 CONDEUBA"";23062,99;-;23062,99"
"""290890 CORACAO DE MARIA"";145638,83;-;145638,83"
"""290900 CORDEIROS"";6595,35;-;6595,35"
"""290950 CRAVOLANDIA"";7889,29;-;7889,29"
"""290960 CRISOPOLIS"";6760,40;-;6760,40"
"""290970 CRISTOPOLIS"";95086,73;-;95086,73"
"""290980 CRUZ DAS ALMAS"";367459,05;-;367459,05"
"""291010 DOM BASILIO"";10809,08;-;10809,08"
"""291030 ELISIO MEDRADO"";6278,34;-;6278,34"
"""291060 ESPLANADA"";43910,55;-;43910,55"
"""291070 EUCLIDES DA CUNHA"";122428,72;-;122428,72"
"""291072 EUNAPOLIS"";514433,04;-;514433,04"
"""291080 FEIRA DE SANTANA"";6195175,26;3122224,89;9317400,15"
"""291130 GENTIO DO OURO"";10561,97;-;10561,97"
"""291150 GONGOGI"";4151,40;-;4151,40"
"""291170 GUANAMBI"";828317,71;-;828317,71"
"""291190 IACU"";31380,86;-;31380,86"
"""291200 IBIASSUCE"";34911,96;-;34911,96"
"""291210 IBICARAI"";12115,02;-;12115,02"
"""291240 IBIPEBA"";8837,49;-;8837,49"
"""291250 IBIPITANGA"";5774,60;-;5774,60"
"""291270 IBIRAPITANGA"";50013,21;-;50013,21"
"""291300 IBITIARA"";11404,42;-;11404,42"
"""291310 IBITITA"";7198,35;-;7198,35"
"""291320 IBOTIRAMA"";172047,90;-;172047,90"
"""291340 IGAPORA"";22011,48;-;22011,48"
"""291345 IGRAPIUNA"";11165,20;-;11165,20"
"""291350 IGUAI"";204846,37;-;204846,37"
"""291360 ILHEUS"";1301416,58;195250,54;1496667,12"
"""291370 INHAMBUPE"";18703,95;-;18703,95"
"""291380 IPECAETA"";321,68;-;321,68"
"""291390 IPIAU"";176115,58;-;176115,58"
"""291400 IPIRA"";83474,34;-;83474,34"
"""291410 IPUPIARA"";5302,39;-;5302,39"
"""291430 IRAMAIA"";45941,90;-;45941,90"
"""291440 IRAQUARA"";154384,76;-;154384,76"
"""291460 IRECE"";767570,72;130505,50;898076,22"
"""291470 ITABERABA"";542755,72;2947,87;545703,59"
"""291480 ITABUNA"";2415461,84;608940,37;3024402,21"
"""291490 ITACARE"";52893,26;-;52893,26"
"""291500 ITAETE"";9515,70;-;9515,70"
"""291510 ITAGI"";6581,76;-;6581,76"
"""291535 ITAGUACU DA BAHIA"";8673,42;-;8673,42"
"""291540 ITAJU DO COLONIA"";33975,37;-;33975,37"
"""291550 ITAJUIPE"";109901,63;-;109901,63"
"""291560 ITAMARAJU"";174782,71;-;174782,71"
"""291580 ITAMBE"";33833,79;-;33833,79"
"""291600 ITANHEM"";36239,77;-;36239,77"
"""291610 ITAPARICA"";149226,87;-;149226,87"
"""291630 ITAPEBI"";9254,87;-;9254,87"
"""291640 ITAPETINGA"";488324,49;-;488324,49"
"""291650 ITAPICURU"";7990,50;-;7990,50"
"""291660 ITAPITANGA"";6436,99;-;6436,99"
"""291670 ITAQUARA"";16354,96;-;16354,96"
"""291680 ITARANTIM"";35850,91;-;35850,91"
"""291685 ITATIM"";9684,52;-;9684,52"
"""291690 ITIRUCU"";14146,79;-;14146,79"
"""291700 ITIUBA"";33047,75;-;33047,75"
"""291710 ITORORO"";61066,84;-;61066,84"
"""291720 ITUACU"";9350,90;-;9350,90"
"""291730 ITUBERA"";7690,72;-;7690,72"
"""291735 JABORANDI"";39616,73;-;39616,73"
"""291740 JACARACI"";13097,21;-;13097,21"
"""291750 JACOBINA"";447726,38;-;447726,38"
"""291760 JAGUAQUARA"";106020,63;-;106020,63"
"""291770 JAGUARARI"";46499,13;-;46499,13"
"""291800 JEQUIE"";2447995,81;52049,49;2500045,30"
"""291810 JEREMOABO"";19275,84;-;19275,84"
"""291820 JIQUIRICA"";15416,42;-;15416,42"
"""291830 JITAUNA"";6787,44;-;6787,44"
"""291840 JUAZEIRO"";1971685,58;596233,06;2567918,64"
"""291855 JUSSARI"";33265,18;-;33265,18"
"""291860 JUSSIAPE"";5634,80;-;5634,80"
"""291915 LAPAO"";41414,92;-;41414,92"
"""291920 LAURO DE FREITAS"";1624376,40;7610,20;1631986,60"
"""291930 LENCOIS"";1529,01;-;1529,01"
"""291940 LICINIO DE ALMEIDA"";13043,38;-;13043,38"
"""291955 LUIS EDUARDO MAGALHAES"";361437,45;-;361437,45"
"""291970 MACARANI"";68264,49;-;68264,49"
"""291980 MACAUBAS"";71506,26;-;71506,26"
"""292000 MAIQUINIQUE"";29798,25;-;29798,25"
"""292010 MAIRI"";43027,81;-;43027,81"
"""292050 MARACAS"";32277,59;-;32277,59"
"""292080 MARCIONILIO SOUZA"";3914,69;-;3914,69"
"""292110 MEDEIROS NETO"";47848,48;-;47848,48"
"""292120 MIGUEL CALMON"";140778,40;-;140778,40"
"""292130 MILAGRES"";4775,42;-;4775,42"
"""292150 MONTE SANTO"";137869,93;-;137869,93"
"""292170 MORRO DO CHAPEU"";71126,85;-;71126,85"
"""292180 MORTUGABA"";15204,52;-;15204,52"
"""292200 MUCURI"";21282,97;-;21282,97"
"""292210 MUNDO NOVO"";6385,00;-;6385,00"
"""292240 MUTUIPE"";53319,97;-;53319,97"
"""292250 NAZARE"";436086,16;-;436086,16"
"""292270 NOVA CANAA"";103495,58;-;103495,58"
"""292273 NOVA FATIMA"";204,50;-;204,50"
"""292290 NOVA SOURE"";16668,02;-;16668,02"
"""292300 NOVA VICOSA"";45076,83;-;45076,83"
"""292310 OLINDINA"";18658,70;-;18658,70"
"""292320 OLIVEIRA DOS BREJINHOS"";28039,37;-;28039,37"
"""292335 OUROLANDIA"";9012,70;-;9012,70"
"""292340 PALMAS DE MONTE ALTO"";17805,38;-;17805,38"
"""292360 PARAMIRIM"";70233,38;-;70233,38"
"""292370 PARATINGA"";67979,51;-;67979,51"
"""292390 PAU BRASIL"";21165,32;-;21165,32"
"""292400 PAULO AFONSO"";268948,94;-;268948,94"
"""292405 PE DE SERRA"";8044,99;-;8044,99"
"""292430 PIATA"";11193,53;-;11193,53"
"""292440 PILAO ARCADO"";13177,27;-;13177,27"
"""292450 PINDAI"";14854,25;-;14854,25"
"""292460 PINDOBACU"";58960,70;-;58960,70"
"""292465 PINTADAS"";10323,77;-;10323,77"
"""292470 PIRIPA"";6908,34;-;6908,34"
"""292480 PIRITIBA"";12112,40;-;12112,40"
"""292490 PLANALTINO"";31665,72;-;31665,72"
"""292510 POCOES"";45794,68;-;45794,68"
"""292530 PORTO SEGURO"";662536,62;23532,29;686068,91"
"""292540 POTIRAGUA"";8265,94;-;8265,94"
"""292550 PRADO"";51862,64;-;51862,64"
"""292560 PRESIDENTE DUTRA"";11756,82;-;11756,82"
"""292575 PRESIDENTE TANCREDO NEVES"";10639,19;-;10639,19"
"""292595 RAFAEL JAMBEIRO"";8960,22;-;8960,22"
"""292600 REMANSO"";236598,53;-;236598,53"
"""292620 RIACHAO DAS NEVES"";32134,38;-;32134,38"
"""292630 RIACHAO DO JACUIPE"";149523,49;-;149523,49"
"""292640 RIACHO DE SANTANA"";55486,88;-;55486,88"
"""292660 RIBEIRA DO POMBAL"";495277,80;-;495277,80"
"""292670 RIO DE CONTAS"";16442,09;-;16442,09"
"""292720 RUY BARBOSA"";471315,21;-;471315,21"
"""292730 SALINAS DA MARGARIDA"";766,99;-;766,99"
"""292740 SALVADOR"";26679849,53;29051151,41;55731000,94"
"""292790 SANTA INES"";22460,92;-;22460,92"
"""292810 SANTA MARIA DA VITORIA"";70314,45;-;70314,45"
"""292820 SANTANA"";55731,77;-;55731,77"
"""292830 SANTANOPOLIS"";2875,73;-;2875,73"
"""292840 SANTA RITA DE CASSIA"";47135,76;-;47135,76"
"""292860 SANTO AMARO"";26994,72;-;26994,72"
"""292870 SANTO ANTONIO DE JESUS"";1592370,96;580483,66;2172854,62"
"""292880 SANTO ESTEVAO"";30124,94;-;30124,94"
"""292890 SAO DESIDERIO"";67028,02;-;67028,02"
"""292900 SAO FELIX"";430851,37;771,60;431622,97"
"""292905 SAO FELIX DO CORIBE"";28215,68;-;28215,68"
"""292910 SAO FELIPE"";7178,87;-;7178,87"
"""292925 SAO GABRIEL"";18110,53;-;18110,53"
"""292940 SAO MIGUEL DAS MATAS"";2013,98;-;2013,98"
"""292950 SAO SEBASTIAO DO PASSE"";21463,82;-;21463,82"
"""292960 SAPEACU"";12433,53;-;12433,53"
"""292990 SEABRA"";506704,00;1973,63;508677,63"
"""293000 SEBASTIAO LARANJEIRAS"";9160,17;-;9160,17"
"""293010 SENHOR DO BONFIM"";359000,27;-;359000,27"
"""293015 SERRA DO RAMALHO"";42767,07;-;42767,07"
"""293030 SERRA DOURADA"";39640,22;-;39640,22"
"""293040 SERRA PRETA"";5654,19;-;5654,19"
"""293070 SIMOES FILHO"";38839,98;-;38839,98"
"""293077 SOBRADINHO"";17293,72;-;17293,72"
"""293080 SOUTO SOARES"";14703,82;-;14703,82"
"""293090 TABOCAS DO BREJO VELHO"";12149,34;-;12149,34"
"""293100 TANHACU"";16922,83;-;16922,83"
"""293110 TANQUINHO"";6704,36;-;6704,36"
"""293120 TAPEROA"";21574,59;-;21574,59"
"""293135 TEIXEIRA DE FREITAS"";863528,78;473398,75;1336927,53"
"""293150 TEOFILANDIA"";4525,42;-;4525,42"
"""293160 TEOLANDIA"";6126,86;-;6126,86"
"""293180 TREMEDAL"";1818,16;-;1818,16"
"""293200 UAUA"";15941,35;-;15941,35"
"""293210 UBAIRA"";54644,85;-;54644,85"
"""293220 UBAITABA"";68548,31;-;68548,31"
"""293250 UNA"";22394,46;-;22394,46"
"""293280 UTINGA"";17789,38;-;17789,38"
"""293290 VALENCA"";282061,38;-;282061,38"
"""293305 VARZEA DA ROCA"";4591,53;-;4591,53"
"""293315 VARZEA NOVA"";70303,11;-;70303,11"
"""293330 VITORIA DA CONQUISTA"";4253064,30;1667847,44;5920911,74"
"""293340 WAGNER"";61753,21;-;61753,21"
"""293345 WANDERLEY"";87354,52;-;87354,52"
"""293360 XIQUE-XIQUE"";101560,19;-;101560,19"
"""310010 ABADIA DOS DOURADOS"";1770,90;-;1770,90"
"""310020 ABAETE"";117140,63;18246,54;135387,17"
"""310030 ABRE CAMPO"";55726,19;-;55726,19"
"""310060 AGUA BOA"";6274,28;-;6274,28"
"""310090 AGUAS FORMOSAS"";199955,64;2640,73;202596,37"
"""310100 AGUAS VERMELHAS"";19889,61;-;19889,61"
"""310110 AIMORES"";69211,75;-;69211,75"
"""310130 ALAGOA"";2993,64;-;2993,64"
"""310150 ALEM PARAIBA"";213587,23;-;213587,23"
"""310160 ALFENAS"";1374954,22;1449769,92;2824724,14"
"""310170 ALMENARA"";409632,50;2086,32;411718,82"
"""310190 ALPINOPOLIS"";62619,67;-;62619,67"
"""310200 ALTEROSA"";27774,62;-;27774,62"
"""310210 ALTO RIO DOCE"";12274,83;-;12274,83"
"""310230 ALVINOPOLIS"";17172,55;-;17172,55"
"""310260 ANDRADAS"";125600,26;-;125600,26"
"""310270 CACHOEIRA DE PAJEU"";11320,37;-;11320,37"
"""310290 ANTONIO CARLOS"";1091,07;-;1091,07"
"""310350 ARAGUARI"";2632312,34;1176964,64;3809276,98"
"""310375 ARAPORA"";21695,53;-;21695,53"
"""310400 ARAXA"";838023,79;-;838023,79"
"""310420 ARCOS"";105181,47;-;105181,47"
"""310430 AREADO"";36394,75;-;36394,75"
"""310450 ARINOS"";17070,58;1453,79;18524,37"
"""310470 ATALEIA"";64900,88;-;64900,88"
"""310490 BAEPENDI"";433109,01;76925,33;510034,34"
"""310510 BAMBUI"";166456,62;-;166456,62"
"""310560 BARBACENA"";2264807,60;2096319,58;4361127,18"
"""310590 BARROSO"";184289,12;49664,26;233953,38"
"""310630 BELO ORIENTE"";734892,47;235125,02;970017,49"
"""310640 BELO VALE"";22938,71;-;22938,71"
"""310650 BERILO"";15134,56;-;15134,56"
"""310670 BETIM"";4160953,57;1131394,37;5292347,94"
"""310690 BICAS"";22337,25;-;22337,25"
"""310730 BOCAIUVA"";232085,27;-;232085,27"
"""310740 BOM DESPACHO"";492458,91;157836,06;650294,97"
"""310750 BOM JARDIM DE MINAS"";14281,53;-;14281,53"
"""310780 BOM JESUS DO GALHO"";170052,89;-;170052,89"
"""310860 BRASILIA DE MINAS"";561394,30;-;561394,30"
"""310900 BRUMADINHO"";400975,48;850,00;401825,48"
"""310910 BUENO BRANDAO"";12669,89;-;12669,89"
"""310930 BURITIS"";32928,80;-;32928,80"
"""310940 BURITIZEIRO"";11760,56;-;11760,56"
"""310950 CABO VERDE"";54389,04;-;54389,04"
"""310990 CAETANOPOLIS"";38380,34;-;38380,34"
"""311000 CAETE"";144865,27;-;144865,27"
"""311030 CALDAS"";58594,54;-;58594,54"
"""311050 CAMANDUCAIA"";84517,66;-;84517,66"
"""311060 CAMBUI"";171068,86;-;171068,86"
"""311090 CAMPANHA"";11873,39;-;11873,39"
"""311100 CAMPESTRE"";27465,31;-;27465,31"
