"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""211030 SANTO ANTONIO DOS LOPES"";255277,99;-;255277,99"
"""211040 SAO BENEDITO DO RIO PRETO"";315423,33;-;315423,33"
"""211050 SAO BENTO"";818134,53;-;818134,53"
"""211060 SAO BERNARDO"";653789,82;-;653789,82"
"""211065 SAO DOMINGOS DO AZEITAO"";214385,67;-;214385,67"
"""211070 SAO DOMINGOS DO MARANHAO"";845425,98;-;845425,98"
"""211080 SAO FELIX DE BALSAS"";93430,92;-;93430,92"
"""211085 SAO FRANCISCO DO BREJAO"";129433,04;-;129433,04"
"""211090 SAO FRANCISCO DO MARANHAO"";305597,85;-;305597,85"
"""211100 SAO JOAO BATISTA"";469771,71;-;469771,71"
"""211102 SAO JOAO DO CARU"";140077,72;-;140077,72"
"""211107 SAO JOAO DO SOTER"";288139,33;-;288139,33"
"""211110 SAO JOAO DOS PATOS"";550809,71;-;550809,71"
"""211120 SAO JOSE DE RIBAMAR"";2269225,52;-;2269225,52"
"""211125 SAO JOSE DOS BASILIOS"";167448,61;-;167448,61"
"""211130 SAO LUIS"";179699427,30;96004370,98;275703798,28"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";549662,82;-;549662,82"
"""211150 SAO MATEUS DO MARANHAO"";1126093,00;-;1126093,00"
"""211153 SAO PEDRO DA AGUA BRANCA"";258044,78;-;258044,78"
"""211157 SAO PEDRO DOS CRENTES"";313215,36;-;313215,36"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";845372,06;-;845372,06"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";13276,24;-;13276,24"
"""211170 SAO VICENTE FERRER"";492766,01;-;492766,01"
"""211172 SATUBINHA"";280563,72;-;280563,72"
"""211174 SENADOR ALEXANDRE COSTA"";207872,96;-;207872,96"
"""211178 SERRANO DO MARANHAO"";269045,27;-;269045,27"
"""211180 SITIO NOVO"";546513,34;-;546513,34"
"""211190 SUCUPIRA DO NORTE"";144460,98;-;144460,98"
"""211195 SUCUPIRA DO RIACHAO"";69293,45;-;69293,45"
"""211200 TASSO FRAGOSO"";89811,65;-;89811,65"
"""211210 TIMBIRAS"";2288608,85;1009,52;2289618,37"
"""211220 TIMON"";7224468,79;545,36;7225014,15"
"""211223 TRIZIDELA DO VALE"";467626,10;-;467626,10"
"""211227 TUFILANDIA"";45814,98;-;45814,98"
"""211230 TUNTUM"";606282,42;-;606282,42"
"""211240 TURIACU"";564815,94;-;564815,94"
"""211245 TURILANDIA"";131973,97;-;131973,97"
"""211250 TUTOIA"";815623,42;-;815623,42"
"""211260 URBANO SANTOS"";692081,19;-;692081,19"
"""211270 VARGEM GRANDE"";609238,35;-;609238,35"
"""211280 VIANA"";2107613,37;-;2107613,37"
"""211285 VILA NOVA DOS MARTIRIOS"";241364,63;-;241364,63"
"""211290 VITORIA DO MEARIM"";320439,73;-;320439,73"
"""211300 VITORINO FREIRE"";1053971,24;-;1053971,24"
"""211400 ZE DOCA"";1694164,49;-;1694164,49"
"""220010 AGRICOLANDIA"";20224,06;-;20224,06"
"""220020 AGUA BRANCA"";382900,49;-;382900,49"
"""220030 ALTO LONGA"";78036,14;-;78036,14"
"""220040 ALTOS"";762163,46;-;762163,46"
"""220050 AMARANTE"";280094,31;-;280094,31"
"""220100 ARRAIAL"";30257,82;-;30257,82"
"""220110 AVELINO LOPES"";41283,77;-;41283,77"
"""220120 BARRAS"";1216540,36;-;1216540,36"
"""220150 BATALHA"";204232,67;-;204232,67"
"""220160 BENEDITINOS"";50638,05;-;50638,05"
"""220180 BOCAINA"";33110,56;-;33110,56"
"""220190 BOM JESUS"";3363716,17;43047,30;3406763,47"
"""220220 CAMPO MAIOR"";3436065,86;-;3436065,86"
"""220230 CANTO DO BURITI"";683127,73;-;683127,73"
"""220260 CASTELO DO PIAUI"";193143,74;-;193143,74"
"""220270 COCAL"";257698,47;-;257698,47"
"""220290 CORRENTE"";996511,46;-;996511,46"
"""220310 CRISTINO CASTRO"";424308,90;-;424308,90"
"""220320 CURIMATA"";507887,84;-;507887,84"
"""220330 DEMERVAL LOBAO"";701266,23;-;701266,23"
"""220350 ELESBAO VELOSO"";719192,84;-;719192,84"
"""220370 ESPERANTINA"";2924900,34;-;2924900,34"
"""220390 FLORIANO"";12585284,35;3365,68;12588650,03"
"""220400 FRANCINOPOLIS"";15535,40;-;15535,40"
"""220430 FRONTEIRAS"";1540826,49;-;1540826,49"
"""220450 GUADALUPE"";334795,18;-;334795,18"
"""220470 INHUMA"";60360,94;-;60360,94"
"""220480 IPIRANGA DO PIAUI"";26226,54;-;26226,54"
"""220510 ITAUEIRA"";222558,68;-;222558,68"
"""220520 JAICOS"";637248,37;-;637248,37"
"""220540 JOAQUIM PIRES"";49213,34;-;49213,34"
"""220550 JOSE DE FREITAS"";727969,44;-;727969,44"
"""220570 LUIS CORREIA"";39469,30;-;39469,30"
"""220580 LUZILANDIA"";2555611,87;-;2555611,87"
"""220590 MANOEL EMIDIO"";16455,08;-;16455,08"
"""220595 MARCOLANDIA"";133729,16;-;133729,16"
"""220620 MIGUEL ALVES"";618484,63;-;618484,63"
"""220650 MONSENHOR HIPOLITO"";80920,11;-;80920,11"
"""220680 NOSSA SENHORA DOS REMEDIOS"";53286,16;-;53286,16"
"""220700 OEIRAS"";5636652,82;10148,35;5646801,17"
"""220730 PAES LANDIM"";15103,90;-;15103,90"
"""220760 PARNAGUA"";667930,99;-;667930,99"
"""220770 PARNAIBA"";20166186,89;5382669,58;25548856,47"
"""220780 PAULISTANA"";438321,70;-;438321,70"
"""220790 PEDRO II"";1597280,73;-;1597280,73"
"""220800 PICOS"";6784432,67;-;6784432,67"
"""220810 PIMENTEIRAS"";41004,33;-;41004,33"
"""220820 PIO IX"";85561,32;-;85561,32"
"""220830 PIRACURUCA"";104516,95;-;104516,95"
"""220840 PIRIPIRI"";3648380,43;62368,89;3710749,32"
"""220850 PORTO"";301773,94;-;301773,94"
"""220880 REGENERACAO"";909151,46;-;909151,46"
"""220890 RIBEIRO GONCALVES"";84983,64;-;84983,64"
"""220960 SAO FELIX DO PIAUI"";8504,92;-;8504,92"
"""221000 SAO JOAO DO PIAUI"";662757,39;-;662757,39"
"""221040 SAO MIGUEL DO TAPUIO"";328771,55;-;328771,55"
"""221050 SAO PEDRO DO PIAUI"";141485,83;-;141485,83"
"""221060 SAO RAIMUNDO NONATO"";5756303,73;2173,52;5758477,25"
"""221070 SIMOES"";757255,26;-;757255,26"
"""221080 SIMPLICIO MENDES"";333032,35;-;333032,35"
"""221100 TERESINA"";118298818,40;60192425,01;178491243,41"
"""221110 UNIAO"";667703,59;-;667703,59"
"""221120 URUCUI"";1278683,02;-;1278683,02"
"""221130 VALENCA DO PIAUI"";1961648,93;-;1961648,93"
"""230020 ACARAU"";1742694,72;598,60;1743293,32"
"""230030 ACOPIARA"";686424,04;135,00;686559,04"
"""230040 AIUABA"";134247,32;-;134247,32"
"""230060 ALTANEIRA"";51824,26;-;51824,26"
"""230070 ALTO SANTO"";162611,77;-;162611,77"
"""230075 AMONTADA"";112958,20;-;112958,20"
"""230080 ANTONINA DO NORTE"";44046,10;-;44046,10"
"""230090 APUIARES"";60168,07;-;60168,07"
"""230100 AQUIRAZ"";1327690,85;-;1327690,85"
"""230110 ARACATI"";3345458,64;1086,60;3346545,24"
"""230120 ARACOIABA"";2636087,83;76696,40;2712784,23"
"""230125 ARARENDA"";53294,47;-;53294,47"
"""230130 ARARIPE"";265179,28;-;265179,28"
"""230140 ARATUBA"";98326,03;-;98326,03"
"""230150 ARNEIROZ"";22310,17;-;22310,17"
"""230160 ASSARE"";166621,40;-;166621,40"
"""230170 AURORA"";1182367,51;-;1182367,51"
"""230180 BAIXIO"";21693,23;-;21693,23"
"""230185 BANABUIU"";136418,40;-;136418,40"
"""230190 BARBALHA"";24795713,96;23580797,84;48376511,80"
"""230195 BARREIRA"";42245,96;-;42245,96"
"""230200 BARRO"";141004,35;-;141004,35"
"""230210 BATURITE"";913522,85;46429,03;959951,88"
"""230220 BEBERIBE"";585449,75;-;585449,75"
"""230230 BELA CRUZ"";456173,32;-;456173,32"
"""230240 BOA VIAGEM"";1210189,36;-;1210189,36"
"""230250 BREJO SANTO"";9256412,63;85064,05;9341476,68"
"""230260 CAMOCIM"";2101297,31;-;2101297,31"
"""230270 CAMPOS SALES"";384625,55;-;384625,55"
"""230280 CANINDE"";5996060,58;-;5996060,58"
"""230290 CAPISTRANO"";59901,21;-;59901,21"
"""230300 CARIDADE"";44080,53;-;44080,53"
"""230310 CARIRE"";159209,67;-;159209,67"
"""230320 CARIRIACU"";169344,31;-;169344,31"
"""230330 CARIUS"";207433,73;-;207433,73"
"""230340 CARNAUBAL"";378995,76;-;378995,76"
"""230350 CASCAVEL"";1147321,51;-;1147321,51"
"""230360 CATARINA"";110936,29;-;110936,29"
"""230365 CATUNDA"";40415,69;-;40415,69"
"""230370 CAUCAIA"";6147565,92;-;6147565,92"
"""230380 CEDRO"";1248648,81;-;1248648,81"
"""230390 CHAVAL"";33648,22;-;33648,22"
"""230393 CHORO"";42066,91;-;42066,91"
"""230395 CHOROZINHO"";75735,73;-;75735,73"
"""230400 COREAU"";139415,88;-;139415,88"
"""230410 CRATEUS"";6466394,61;-;6466394,61"
"""230420 CRATO"";19247200,25;4972126,65;24219326,90"
"""230423 CROATA"";346339,23;-;346339,23"
"""230425 CRUZ"";693329,03;-;693329,03"
"""230426 DEPUTADO IRAPUAN PINHEIRO"";68011,65;-;68011,65"
"""230427 ERERE"";14025,57;-;14025,57"
"""230428 EUSEBIO"";4185346,13;-;4185346,13"
"""230430 FARIAS BRITO"";290399,69;-;290399,69"
"""230440 FORTALEZA"";267437447,04;202834870,12;470272317,16"
"""230445 FORTIM"";94728,14;-;94728,14"
"""230450 FRECHEIRINHA"";117769,83;-;117769,83"
"""230460 GENERAL SAMPAIO"";23084,48;-;23084,48"
"""230470 GRANJA"";1394392,66;-;1394392,66"
"""230480 GRANJEIRO"";39711,50;135,00;39846,50"
"""230490 GROAIRAS"";52722,34;-;52722,34"
"""230495 GUAIUBA"";5663,58;-;5663,58"
"""230500 GUARACIABA DO NORTE"";634714,42;-;634714,42"
"""230510 GUARAMIRANGA"";9001,66;-;9001,66"
"""230520 HIDROLANDIA"";203189,36;-;203189,36"
"""230523 HORIZONTE"";1133682,52;-;1133682,52"
"""230526 IBARETAMA"";43193,40;-;43193,40"
"""230530 IBIAPINA"";521887,11;-;521887,11"
"""230540 ICO"";1864513,18;-;1864513,18"
"""230550 IGUATU"";7431649,32;-;7431649,32"
"""230560 INDEPENDENCIA"";148074,20;-;148074,20"
"""230565 IPAPORANGA"";118186,42;-;118186,42"
"""230570 IPAUMIRIM"";77321,46;-;77321,46"
"""230580 IPU"";1613365,74;-;1613365,74"
"""230590 IPUEIRAS"";561540,91;-;561540,91"
"""230600 IRACEMA"";226869,96;-;226869,96"
"""230610 IRAUCUBA"";290752,05;-;290752,05"
"""230620 ITAICABA"";4219,12;-;4219,12"
"""230625 ITAITINGA"";269992,37;-;269992,37"
"""230630 ITAPAJE"";626962,65;-;626962,65"
"""230640 ITAPIPOCA"";11802662,11;6320,40;11808982,51"
"""230650 ITAPIUNA"";47393,24;-;47393,24"
"""230655 ITAREMA"";806243,33;-;806243,33"
"""230670 JAGUARETAMA"";650949,45;-;650949,45"
"""230680 JAGUARIBARA"";442659,00;135,00;442794,00"
"""230690 JAGUARIBE"";785453,44;-;785453,44"
"""230700 JAGUARUANA"";181378,88;-;181378,88"
"""230710 JARDIM"";276768,03;-;276768,03"
"""230720 JATI"";52992,85;-;52992,85"
"""230725 JIJOCA DE JERICOACOARA"";330445,18;-;330445,18"
"""230730 JUAZEIRO DO NORTE"";26457717,66;813462,28;27271179,94"
"""230740 JUCAS"";453629,77;-;453629,77"
"""230750 LAVRAS DA MANGABEIRA"";1054530,50;-;1054530,50"
"""230760 LIMOEIRO DO NORTE"";13681221,37;43737,34;13724958,71"
"""230763 MADALENA"";82105,90;-;82105,90"
"""230765 MARACANAU"";14261028,99;-;14261028,99"
"""230770 MARANGUAPE"";1086971,45;-;1086971,45"
"""230780 MARCO"";631379,68;-;631379,68"
"""230790 MARTINOPOLE"";279509,25;-;279509,25"
"""230800 MASSAPE"";217498,23;-;217498,23"
"""230810 MAURITI"";1422976,66;-;1422976,66"
"""230820 MERUOCA"";81972,55;-;81972,55"
"""230830 MILAGRES"";497984,48;-;497984,48"
"""230835 MILHA"";117102,56;-;117102,56"
"""230840 MISSAO VELHA"";1162028,96;-;1162028,96"
"""230850 MOMBACA"";1113075,70;-;1113075,70"
"""230860 MONSENHOR TABOSA"";348239,74;-;348239,74"
"""230870 MORADA NOVA"";1755710,42;-;1755710,42"
"""230880 MORAUJO"";26389,41;-;26389,41"
"""230890 MORRINHOS"";79842,97;-;79842,97"
"""230900 MUCAMBO"";612117,76;175,00;612292,76"
"""230910 MULUNGU"";89486,24;-;89486,24"
"""230920 NOVA OLINDA"";106271,57;-;106271,57"
"""230930 NOVA RUSSAS"";1128223,22;-;1128223,22"
"""230940 NOVO ORIENTE"";325654,79;-;325654,79"
"""230945 OCARA"";122122,50;-;122122,50"
"""230950 OROS"";353020,05;-;353020,05"
"""230960 PACAJUS"";310884,63;-;310884,63"
"""230970 PACATUBA"";133451,21;-;133451,21"
"""230980 PACOTI"";35128,53;-;35128,53"
"""231010 PALMACIA"";16247,32;-;16247,32"
"""231020 PARACURU"";333495,45;-;333495,45"
"""231025 PARAIPABA"";139143,31;-;139143,31"
"""231030 PARAMBU"";864976,51;-;864976,51"
"""231040 PARAMOTI"";79355,28;-;79355,28"
"""231050 PEDRA BRANCA"";385732,21;-;385732,21"
"""231060 PENAFORTE"";291633,81;-;291633,81"
"""231070 PENTECOSTE"";382306,77;-;382306,77"
"""231080 PEREIRO"";228178,19;-;228178,19"
"""231085 PINDORETAMA"";107004,25;-;107004,25"
"""231090 PIQUET CARNEIRO"";212180,02;-;212180,02"
"""231100 PORANGA"";71146,76;-;71146,76"
"""231110 PORTEIRAS"";175128,39;-;175128,39"
"""231120 POTENGI"";107281,51;-;107281,51"
"""231126 QUITERIANOPOLIS"";114415,26;-;114415,26"
"""231130 QUIXADA"";7340894,71;-;7340894,71"
"""231135 QUIXELO"";270233,17;-;270233,17"
"""231140 QUIXERAMOBIM"";12788064,14;202642,27;12990706,41"
"""231150 QUIXERE"";165022,22;-;165022,22"
"""231160 REDENCAO"";639365,43;13117,20;652482,63"
"""231170 RERIUTABA"";116636,48;-;116636,48"
"""231180 RUSSAS"";3275542,18;-;3275542,18"
"""231190 SABOEIRO"";59356,45;-;59356,45"
"""231195 SALITRE"";129971,05;-;129971,05"
"""231200 SANTANA DO ACARAU"";283296,12;-;283296,12"
"""231210 SANTANA DO CARIRI"";102731,89;-;102731,89"
"""231220 SANTA QUITERIA"";480404,09;-;480404,09"
"""231230 SAO BENEDITO"";817771,56;-;817771,56"
"""231240 SAO GONCALO DO AMARANTE"";4129986,64;-;4129986,64"
"""231260 SAO LUIS DO CURU"";18860,11;-;18860,11"
"""231270 SENADOR POMPEU"";250617,15;-;250617,15"
"""231290 SOBRAL"";62621605,47;26091555,55;88713161,02"
"""231300 SOLONOPOLE"";140801,15;-;140801,15"
"""231310 TABULEIRO DO NORTE"";1108495,65;-;1108495,65"
"""231320 TAMBORIL"";576148,31;-;576148,31"
"""231325 TARRAFAS"";34820,50;-;34820,50"
"""231330 TAUA"";7520493,75;3078,16;7523571,91"
"""231335 TEJUCUOCA"";45017,56;-;45017,56"
"""231340 TIANGUA"";10499495,32;104296,92;10603792,24"
"""231350 TRAIRI"";373005,52;-;373005,52"
"""231355 TURURU"";40370,60;-;40370,60"
"""231360 UBAJARA"";312778,87;-;312778,87"
"""231370 UMARI"";62638,98;-;62638,98"
"""231375 UMIRIM"";27235,38;-;27235,38"
"""231380 URUBURETAMA"";88047,97;-;88047,97"
"""231390 URUOCA"";17489,20;-;17489,20"
"""231395 VARJOTA"";223234,84;-;223234,84"
"""231400 VARZEA ALEGRE"";1938632,70;-;1938632,70"
"""231410 VICOSA DO CEARA"";1318539,24;-;1318539,24"
"""240020 ACU"";1795864,20;-;1795864,20"
"""240050 ALEXANDRIA"";3578618,70;-;3578618,70"
"""240060 ALMINO AFONSO"";2250196,62;2217578,40;4467775,02"
"""240070 ALTO DO RODRIGUES"";57439,68;-;57439,68"
"""240080 ANGICOS"";177776,00;-;177776,00"
"""240090 ANTONIO MARTINS"";184752,23;-;184752,23"
"""240100 APODI"";1193345,84;790,04;1194135,88"
"""240110 AREIA BRANCA"";246336,32;-;246336,32"
"""240145 BARAUNA"";171949,15;-;171949,15"
"""240180 BREJINHO"";45617,52;-;45617,52"
"""240200 CAICO"";6068160,93;-;6068160,93"
"""240230 CARAUBAS"";372102,64;-;372102,64"
"""240240 CARNAUBA DOS DANTAS"";5441,56;-;5441,56"
"""240250 CARNAUBAIS"";21248,44;-;21248,44"
"""240260 CEARA-MIRIM"";2035646,88;-;2035646,88"
"""240270 CERRO CORA"";37833,81;-;37833,81"
"""240280 CORONEL EZEQUIEL"";865,91;-;865,91"
"""240290 CORONEL JOAO PESSOA"";8020,46;-;8020,46"
"""240310 CURRAIS NOVOS"";5454433,72;1994486,82;7448920,54"
"""240320 DOUTOR SEVERIANO"";42363,28;-;42363,28"
"""240325 PARNAMIRIM"";12071261,07;3824405,12;15895666,19"
"""240330 ENCANTO"";9743,35;-;9743,35"
"""240340 EQUADOR"";49589,28;-;49589,28"
"""240360 EXTREMOZ"";87491,14;-;87491,14"
"""240370 FELIPE GUERRA"";21559,42;-;21559,42"
"""240400 FRUTUOSO GOMES"";52576,22;-;52576,22"
"""240420 GOIANINHA"";88939,17;-;88939,17"
"""240430 GOVERNADOR DIX-SEPT ROSADO"";26880,58;-;26880,58"
"""240450 GUAMARE"";466516,90;-;466516,90"
"""240485 ITAJA"";3444,51;-;3444,51"
"""240520 JANDUIS"";63539,17;-;63539,17"
"""240530 JANUARIO CICCO"";27083,69;-;27083,69"
"""240560 JARDIM DE PIRANHAS"";130858,45;-;130858,45"
"""240570 JARDIM DO SERIDO"";168446,97;648144,00;816590,97"
"""240580 JOAO CAMARA"";1214699,92;167,00;1214866,92"
"""240600 JOSE DA PENHA"";44516,05;-;44516,05"
"""240610 JUCURUTU"";636619,42;-;636619,42"
"""240650 LAGOA NOVA"";31648,97;-;31648,97"
"""240670 LAJES"";98134,92;-;98134,92"
"""240690 LUCRECIA"";49928,38;-;49928,38"
"""240710 MACAIBA"";2817792,93;-;2817792,93"
"""240720 MACAU"";263995,53;-;263995,53"
"""240725 MAJOR SALES"";23335,17;-;23335,17"
"""240740 MARTINS"";84644,22;-;84644,22"
"""240760 MESSIAS TARGINO"";36892,74;-;36892,74"
"""240780 MONTE ALEGRE"";115402,04;-;115402,04"
"""240800 MOSSORO"";35211345,82;33428622,44;68639968,26"
"""240810 NATAL"";128412691,60;121601320,91;250014012,51"
"""240830 NOVA CRUZ"";190902,29;-;190902,29"
"""240890 PARELHAS"";148019,37;-;148019,37"
"""240910 PASSA E FICA"";188571,29;-;188571,29"
"""240930 PATU"";73017,31;-;73017,31"
"""240940 PAU DOS FERROS"";5422644,77;108642,02;5531286,79"
"""240980 PEDRO VELHO"";33871,01;-;33871,01"
"""240990 PENDENCIAS"";70746,17;-;70746,17"
"""241000 PILOES"";22804,38;-;22804,38"
"""241020 PORTALEGRE"";20527,20;-;20527,20"
"""241030 SERRA CAIADA"";21194,01;-;21194,01"
"""241060 RAFAEL GODEIRO"";110110,83;-;110110,83"
"""241070 RIACHO DA CRUZ"";52099,16;-;52099,16"
"""241100 RODOLFO FERNANDES"";7234,07;-;7234,07"
"""241120 SANTA CRUZ"";3724921,88;-;3724921,88"
"""241140 SANTANA DO MATOS"";55487,91;-;55487,91"
"""241142 SANTANA DO SERIDO"";22125,59;-;22125,59"
"""241150 SANTO ANTONIO"";2852860,27;191,00;2853051,27"
"""241200 SAO GONCALO DO AMARANTE"";2662721,42;-;2662721,42"
"""241220 SAO JOSE DE MIPIBU"";2272945,43;-;2272945,43"
"""241230 SAO JOSE DO CAMPESTRE"";50991,29;-;50991,29"
"""241240 SAO JOSE DO SERIDO"";24067,29;-;24067,29"
"""241250 SAO MIGUEL"";52607,67;-;52607,67"
"""241260 SAO PAULO DO POTENGI"";480080,18;-;480080,18"
"""241280 SAO RAFAEL"";74083,74;-;74083,74"
"""241300 SAO VICENTE"";23910,99;-;23910,99"
"""241330 SERRA DE SAO BENTO"";5598,62;-;5598,62"
"""241335 SERRA DO MEL"";44422,29;-;44422,29"
"""241340 SERRA NEGRA DO NORTE"";45331,70;-;45331,70"
"""241355 SERRINHA DOS PINTOS"";34104,34;-;34104,34"
"""241360 SEVERIANO MELO"";33213,00;-;33213,00"
"""241380 TABOLEIRO GRANDE"";15757,77;-;15757,77"
"""241400 TANGARA"";27001,19;-;27001,19"
"""241410 TENENTE ANANIAS"";1677440,43;-;1677440,43"
"""241420 TIBAU DO SUL"";31275,21;-;31275,21"
"""241440 TOUROS"";171026,05;-;171026,05"
"""241445 TRIUNFO POTIGUAR"";10219,15;-;10219,15"
"""241450 UMARIZAL"";15485,65;-;15485,65"
"""241460 UPANEMA"";44575,08;-;44575,08"
"""241475 VENHA-VER"";6621,54;-;6621,54"
"""250010 AGUA BRANCA"";72255,91;-;72255,91"
"""250030 ALAGOA GRANDE"";123469,65;-;123469,65"
"""250040 ALAGOA NOVA"";149492,22;-;149492,22"
"""250070 SAO JOAO DO RIO DO PEIXE"";128313,86;-;128313,86"
"""250110 AREIA"";74803,33;-;74803,33"
"""250130 AROEIRAS"";97032,45;-;97032,45"
"""250150 BANANEIRAS"";135824,47;-;135824,47"
"""250180 BAYEUX"";593808,32;98764,80;692573,12"
"""250190 BELEM"";960781,93;-;960781,93"
"""250200 BELEM DO BREJO DO CRUZ"";37365,43;-;37365,43"
"""250230 BOM SUCESSO"";13349,59;-;13349,59"
"""250240 BONITO DE SANTA FE"";91977,30;-;91977,30"
"""250250 BOQUEIRAO"";121642,32;-;121642,32"
"""250280 BREJO DO CRUZ"";64822,26;-;64822,26"
"""250300 CAAPORA"";88474,09;-;88474,09"
"""250320 CABEDELO"";822594,50;-;822594,50"
"""250350 CACIMBA DE DENTRO"";19922,13;-;19922,13"
"""250370 CAJAZEIRAS"";8392993,61;47537,88;8440531,49"
"""250400 CAMPINA GRANDE"";92834341,24;37800268,05;130634609,29"
"""250430 CATOLE DO ROCHA"";3731437,28;52548,79;3783986,07"
"""250440 CONCEICAO"";221210,89;-;221210,89"
"""250480 COREMAS"";350982,34;-;350982,34"
"""250510 CUITE"";290402,88;-;290402,88"
"""250600 ESPERANCA"";222552,98;-;222552,98"
"""250630 GUARABIRA"";5952440,27;33138,60;5985578,87"
"""250690 ITABAIANA"";2814674,46;5823,16;2820497,62"
"""250700 ITAPORANGA"";1466687,59;-;1466687,59"
"""250710 ITAPOROROCA"";219888,23;-;219888,23"
"""250740 JERICO"";31679,12;-;31679,12"
"""250750 JOAO PESSOA"";125746695,18;67169936,66;192916631,84"
"""250770 JUAZEIRINHO"";37740,61;-;37740,61"
"""250800 JURU"";84338,52;-;84338,52"
"""250830 LAGOA SECA"";106801,81;-;106801,81"
"""250890 MAMANGUAPE"";8702055,48;597376,44;9299431,92"
"""250920 MASSARANDUBA"";7048,57;-;7048,57"
"""250970 MONTEIRO"";4338284,50;1058364,70;5396649,20"
"""251080 PATOS"";15441514,63;13020370,89;28461885,52"
"""251090 PAULISTA"";114616,94;-;114616,94"
"""251110 PEDRA LAVRADA"";101560,91;-;101560,91"
"""251120 PEDRAS DE FOGO"";394381,37;-;394381,37"
"""251130 PIANCO"";1969974,79;1081,53;1971056,32"
"""251140 PICUI"";3708250,19;1817105,88;5525356,07"
"""251200 POCINHOS"";23864,81;-;23864,81"
"""251210 POMBAL"";4923066,80;405329,06;5328395,86"
"""251230 PRINCESA ISABEL"";425114,74;-;425114,74"
"""251250 QUEIMADAS"";2198069,75;-;2198069,75"
"""251340 SANTA LUZIA"";645352,55;379277,80;1024630,35"
"""251370 SANTA RITA"";15747952,21;109657277,04;125405229,25"
"""251390 SAO BENTO"";819434,03;-;819434,03"
"""251450 SAO JOSE DE PIRANHAS"";185893,63;-;185893,63"
"""251490 SAO MAMEDE"";10184,26;-;10184,26"
"""251530 SAPE"";285120,07;-;285120,07"
"""251540 SAO VICENTE DO SERIDO"";35163,09;-;35163,09"
"""251550 SERRA BRANCA"";253182,42;-;253182,42"
"""251600 SOLANEA"";1901006,83;-;1901006,83"
"""251610 SOLEDADE"";40947,67;-;40947,67"
"""251620 SOUSA"";7233636,00;1027071,18;8260707,18"
"""251630 SUME"";482466,79;-;482466,79"
"""251650 TAPEROA"";1980711,57;-;1980711,57"
"""251660 TAVARES"";222428,47;-;222428,47"
"""251690 UIRAUNA"";601674,42;-;601674,42"
"""260010 AFOGADOS DA INGAZEIRA"";5609802,42;-;5609802,42"
"""260020 AFRANIO"";559463,06;26234,40;585697,46"
"""260030 AGRESTINA"";1133005,57;-;1133005,57"
"""260040 AGUA PRETA"";6081,15;-;6081,15"
"""260050 AGUAS BELAS"";201323,10;-;201323,10"
"""260060 ALAGOINHA"";207482,98;-;207482,98"
"""260070 ALIANCA"";117666,13;-;117666,13"
"""260080 ALTINHO"";47010,29;-;47010,29"
"""260090 AMARAJI"";10254,40;-;10254,40"
"""260100 ANGELIM"";58591,60;-;58591,60"
"""260110 ARARIPINA"";10801247,39;1529,33;10802776,72"
"""260120 ARCOVERDE"";9483260,14;1477965,97;10961226,11"
"""260130 BARRA DE GUABIRABA"";46916,97;-;46916,97"
"""260140 BARREIROS"";2565203,76;-;2565203,76"
"""260150 BELEM DE MARIA"";4760,90;-;4760,90"
"""260160 BELEM DO SAO FRANCISCO"";73974,99;-;73974,99"
"""260170 BELO JARDIM"";645169,09;-;645169,09"
"""260180 BETANIA"";29883,26;-;29883,26"
"""260190 BEZERROS"";10213525,22;2128,95;10215654,17"
"""260200 BODOCO"";175927,75;-;175927,75"
"""260210 BOM CONSELHO"";626339,75;-;626339,75"
"""260220 BOM JARDIM"";75958,90;-;75958,90"
"""260230 BONITO"";392252,33;-;392252,33"
"""260240 BREJAO"";57669,86;-;57669,86"
"""260250 BREJINHO"";74893,58;-;74893,58"
"""260260 BREJO DA MADRE DE DEUS"";139285,50;-;139285,50"
"""260280 BUIQUE"";416060,47;-;416060,47"
"""260290 CABO DE SANTO AGOSTINHO"";9390025,23;8522809,13;17912834,36"
"""260300 CABROBO"";645555,86;-;645555,86"
"""260310 CACHOEIRINHA"";103843,22;-;103843,22"
"""260320 CAETES"";128951,79;-;128951,79"
"""260330 CALCADO"";19870,96;-;19870,96"
"""260340 CALUMBI"";10538,70;-;10538,70"
"""260345 CAMARAGIBE"";2748466,88;-;2748466,88"
"""260350 CAMOCIM DE SAO FELIX"";35144,52;-;35144,52"
"""260360 CAMUTANGA"";9393,41;-;9393,41"
"""260370 CANHOTINHO"";266867,57;-;266867,57"
"""260380 CAPOEIRAS"";85905,80;-;85905,80"
"""260390 CARNAIBA"";437957,43;-;437957,43"
"""260392 CARNAUBEIRA DA PENHA"";40708,29;-;40708,29"
"""260400 CARPINA"";778376,86;659,03;779035,89"
"""260410 CARUARU"";47734328,65;19763770,27;67498098,92"
"""260415 CASINHAS"";35288,73;-;35288,73"
"""260420 CATENDE"";105941,23;-;105941,23"
"""260430 CEDRO"";39480,06;-;39480,06"
"""260450 CHA GRANDE"";157503,74;-;157503,74"
"""260460 CONDADO"";35006,58;-;35006,58"
"""260470 CORRENTES"";84937,13;-;84937,13"
"""260480 CORTES"";1056482,61;-;1056482,61"
